BMS_Object ID,BMS_Item Reference,BMS_Object Type,BMS_Name,Point_Type,BMS_Units,Interval Sec,DC,Block,Floor
3a21b60f-673a-5292-b289-0b87fbd09707,HMS-T:SNE-T2-L31-01/FC1.VAV-56H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
d0f3cc0a-ac39-5bcf-8afc-5335a5b27900,HMS-T:SNE-T2-L25-01/FC1.VAV-16.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
d35b305c-779f-56bc-995a-c76db75b5aa8,HMS-T:SNE-T2-L29-01/FC1.VAV-42.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
3e6fa597-cfb2-5a6b-80a8-38ae515bfabd,HMS-T:SNE-T1-L33-01/FC1.VAV-16H.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
5aa93c80-6ccb-5e9e-ba8d-af5026f3c662,HMS-T:SNE-T1-L21-01/FC1.VAV-65.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
6612407c-8947-5c07-b4f9-9cf5de3d427e,HMS-T:SNE-T2-L27-01/FC1.DDC-T2-L27-02E.IN 14-Spare,BI Mapper,IN 14-Spare,None,,0,FALSE,,
90b654f5-55aa-5b22-8f7d-a29f7b2e7acb,HMS-T:SNE-T2-L33-01/FC1.VAV-41H.SA-F,AV Mapper,SA-F,,,0,FALSE,,
32e9c902-e1f8-5080-972e-dbd4b92b7307,HMS-T:SNE-T1-L21-01/FC1.VAV-70.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
58240ac7-843b-586d-a38b-e9ae9f5f96f3,HMS-T:SNE-T1-L27-01/FC1.VAV-28.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
81c3991e-0386-56f6-a03f-f86db4e7a5f1,HMS-T:SNE-T2-L29-01/FC1.DDC-T2-L28-02E.EAFT2L2805-DS,BI Mapper,EAFT2L2805-DS,,,0,FALSE,,
c08379ca-f79f-5e52-9233-781eb32121ce,HMS-T:SNE-T2-L22-01/FC1.VAV-84.SA-AREA,AV Mapper,SA-AREA,,,0,FALSE,,
e0a38046-e609-55ca-9ccc-2d68abbccbc4,HMS-T:SNE-T2-L36-01/FC1.VAV-74.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
d68e1a45-b0a8-5c1a-b867-9dd5de672ed6,HMS-T:SNE-T1-L22-01/FC1.VAV-06H,JCI Family BACnet Device,VAV-06H,,,0,FALSE,,
66723e98-2c43-5806-8a08-be0e406e7aae,HMS-T:SNE-T1-L32-01/FC1.VAV-64H.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
a0e741c3-48e3-5190-ab13-671d375b1a8e,HMS-T:SNE-T2-L25-01/FC1.VAV-62.CLGUNOCC-MINFLOW,AV Mapper,CLGUNOCC-MINFLOW,,,0,FALSE,,
a67dde44-4d86-5007-9501-d53129c896ce,HMS-T:SNE-T2-L20-01/FC1.VAV-40H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
d2e88480-fe6c-5629-bd6c-31b9bf76a7e0,HMS-T:SNE-T2-L36-01/FC1.VAV-94H.HTGUNOCC-MINFLOW,AV Mapper,HTGUNOCC-MINFLOW,,,0,FALSE,,
021939a3-258f-5d52-87b1-5ae274f8401a,HMS-T:SNE-T1-L20-01/FC1.VAV-46.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
325aefd1-de09-51bf-8408-f8c7f43da9a2,HMS-T:SNE-T2-RF-01/FC1.DDC-T2-UR-02.PAU-CWST,AV Mapper,PAU-CWST,,,0,FALSE,,
